Species,Stranding_Day,Turtle_Number,Location,Stranding_ID_number,Tail_Length,Sex,Condition,Condition_Description,Flipper_Tag,PIT_Tag,Living_Tag,SCL_Tip,SCL_Notch,SCW,Anterior_depth,Plastron_length,Head_length,Head_width,Front_Flipper_Chord_Length,Front_Flipper_Claw_Length,Rear_Flipper_Chord_Length,Dorsal_Tail_Length,Tail_Vent_to_Tip_Length,Curved_Carapce_length_TIP,CCL_notch,Curved_carapace_Width,Barnacles,Weight,Date_Necropsied,Examiner_Affiliation,Necropsy_Description,Eyeses_Sunoken,Skeletal_Features_Prominoenot,Heavy_Epibiota,Leeches,Goosenoeck_Barnoacles,Head_Appendages_Epibiota,Carapace_Epibiota,Plastron_Epibiota,Muscle_Status,Fat_Status,Joint_Fluid,Coelomic_Fluid_Volume,Blood_Ino_Heart_Chambers,Heart_Weight,Liver_Weight,Spleen_Weight,Kidney_Weight,GOvarynads,Testes_Characterization,Testes_Length,Testes_Width,Epididymis_Characterization,Ovaries_Characterization,Ovary_Length,Oviduct_Characterization,Trachea_Foam_Froth,Trachea_Foam_Froth_Anoterior,Trachea_Foam_Froth_Posterior,Trachea_Foam_Froth_Amount,Trachea_Sanod_Sedimenot,Trachea_Bronchi_Findings,Brain_Weight
Chelonia mydas,3,1,"St. Joseph Bay, Florida",Cm 001,,Female,1,Fresh Dead,no,no,no,32.6,31.9,26.7,10.9,,9.7,,18,9.1,10.9,3.8,1.8,35,33.9,29.6,yes,4,24-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,,no,no,no,no,0,5,0,Well-muscled/no atrophy,Abundant/No Atrophy,Blood-tinged/viscous,copious,yes,18,83,5,,Ovary,,,,,all follicles <4 mm diameter,4,<3 mm diameter,yes,yes,no,small,no,No Significant Findings,
Chelonia mydas,,2,"St. Joseph Bay, Florida",Cm 002,,Female,1,Fresh Dead,no,no,no,36.5,36.1,29.2,10.2,,10.1,,20.6,10.4,12.8,4,2.3,38.1,37.7,31.7,no,6,24-Jan-10,,External and Internal,,no,no,,,0,2,0,Well-muscled/no atrophy,Abundant/No Atrophy,Blood-tinged/viscous,20,yes,25.2,41.2,20.2,32.6,Ovary,,,,,all follicles <4 mm diameter,6,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,
Chelonia mydas,,3,"St. Joseph Bay, Florida",Cm 003,,Female,,,,,,27.6,27.1,22.3,9.7,,7.9,,16.1,9,10,3.6,2.4,29.1,28.6,24.7,no,2.6,21-Jan-10,,,no,no,no,no,no,0,5,0,Well-muscled/no atrophy,Mild/Moderate Atrophy,No Significant Findings,,yes,,,,,Ovary,,,,,all follicles <4 mm diameter,4.5,<3 mm diameter,no,no,no,,no,No Significant Findings,
Chelonia mydas,,15,"St. Joseph Bay, Florida",Cm 015,,Female,1,Fresh Dead,no,no,no,31.6,31.4,25.5,10.9,,8.7,,17.9,9,11.4,3,1.4,34,33.6,29.9,yes,4.2,22-Jan-10,North Carolina Wildlife Resources Commission,,no,no,no,no,no,0,1,<5,Well-muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,20,yes,20.6,121.4,12.3,,Ovary,,,,,all follicles <4 mm diameter,6,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,1.6
Chelonia mydas,3,17,"St. Joseph Bay, Florida",Cm 017,,Female,1,Fresh Dead,no,no,no,25.5,25.4,21,8.4,,6.8,,14.4,7.7,9.2,3,1.7,28.5,28.2,23.6,no,2,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,50,0,Mild/Moderate Atrophy,Severe atrophy,Blood-tinged,copious,yes,8,41.7,<1,,Ovary,,,,,all follicles <4 mm diameter,2.7,<3 mm diameter,no,,,,no,No Significant Findings,1
Chelonia mydas,6?,18,"St. Joseph Bay, Florida",Cm 018,,Female,1,Fresh Dead,no,no,no,52.5,51.7,41.3,17.1,,13.7,,27.5,13.5,18,5.1,2.5,56.6,54.9,48.6,no,17,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,,,no,no,no,0,0,0,Well-muscled/no atrophy,Abundant/No Atrophy,Blood-tinged,,no,50.5,384,25,,Ovary,,,,,all follicles <4 mm diameter,8.6,<3 mm diameter,yes,no,yes,moderate,no,No Significant Findings,4
Chelonia mydas,3,20,"St. Joseph Bay, Florida",Cm 020,0.6,Female,1,Fresh Dead,no,no,no,43.1,42.8,34.5,15.5,,11.1,,22.4,10.6,14.5,4.5,3,45.7,45.4,39.6,no,10.6,22-Jan-10,,External and Internal,no,no,no,no,no,<1,1,0,Well-muscled/no atrophy,Mild/Moderate Atrophy,Blood-tinged,700,,56.2,230,13.9,,Ovary,,,,,all follicles <4 mm diameter,2.4,<3 mm diameter,no,no,no,,no,No Significant Findings,4
Chelonia mydas,,21,"St. Joseph Bay, Florida",Cm 021,,Male,1,Fresh Dead,no,no,no,28.6,28,23.7,9.3,,7.7,,16,8.4,9.8,3.5,2,29.7,29.2,25.8,no,2.8,22-Jan-10,North Carolina Wildlife Resources Commission,External and Internal,no,no,no,no,no,0,5,0,Well-muscled/no atrophy,Abundant/No Atrophy,No Significant Findings,100,yes,12.8,87.6,4.2,,Testes,flat,3.5,0.7,,all follicles,, ,no,,,,no,No Significant Findings,2.3
Chelonia mydas,5,22,"St. Joseph Bay, Florida",Cm 022,,Female,1,Fresh Dead,no,no,no,24.3,24.1,18,7.3,,7.2,,15.1,7.7,9,3,1.8,25.2,24.7,19.5,no,1.2,22-Jan-10,NMFS SEFSC SEFSC,External and Internal,no,no,no,no,no,0,5,0,Mild/Moderate Atrophy,Mild/Moderate Atrophy,Blood-tinged,,yes,8.9,36.3,1.9,,Ovary,,,,,all follicles <4 mm diameter,3.7,<3 mm diameter,yes,yes,yes,small,no,No Significant Findings,2.1
Chelonia mydas,,23,"St. Joseph Bay, Florida",Cm 023,,Female,1,Fresh Dead,no,no,no,33,32.5,27.5,10.1,,8.6,,18.6,9.2,11.4,4.2,3,34.5,33.9,29.5,no,2.8,22-Jan-10,,External and Internal,,yes,no,no,no,0,5,0,Well-muscled/no atrophy,Mild/Moderate Atrophy,,0,,,,,,Ovary,,,,,all follicles <4 mm diameter,5.3x0.7,<3 mm diameter,no,no,no,,no,,2.2
